Ticker,1D_Price,1D_MACD_Black,1D_MACD_Red,1D_RSI_2,1D_RSI_14,1D_Stoch_K_Black,1D_Stoch_D_Red,1D_NVI_Black,1D_NVI_Red,15m_Price,15m_MACD_Black,15m_MACD_Red,15m_RSI_2,15m_RSI_14,15m_Stoch_K_Black,15m_Stoch_D_Red,15m_NVI_Black,15m_NVI_Red
CHAMBLFERT.NS,453.25,5.48,2.94,19.24,55.16,74.4,77.78,46.33,47.51,453.0,-0.73,-1.06,71.0,50.05,98.15,88.64,100.25,101.93
CHENNPETRO.NS,980.8,7.75,13.88,71.47,51.81,24.49,15.27,19.91,32.11,983.5,1.04,2.57,61.49,49.52,12.21,5.02,94.69,94.98
CHOICEIN.NS,719.3,4.08,-10.51,90.38,60.4,98.31,98.31,62.85,86.83,719.35,0.25,0.66,47.82,48.98,21.79,35.71,95.46,96.27
CHOLAHLDNG.NS,1582.4,-0.72,-28.83,69.8,55.63,80.75,82.78,43.19,54.04,1590.0,0.92,2.21,82.36,53.29,66.04,52.45,94.12,91.67
CHOLAFIN.NS,1569.9,-12.38,-37.97,72.26,54.79,87.46,89.32,85.92,91.88,1569.9,0.86,3.35,18.99,46.07,17.29,21.49,92.98,92.89
CIPLA.NS,1230.5,-24.03,-29.09,73.69,43.28,90.3,90.3,97.91,98.56,1231.0,1.17,1.46,51.53,54.99,41.78,43.92,97.62,97.29
CUB.NS,249.82,-2.64,-4.73,33.24,47.84,74.87,82.09,55.03,73.99,250.5,-0.46,-0.67,98.67,53.14,99.73,99.73,93.88,93.03
CLEAN.NS,751.6,-0.29,-9.7,85.97,57.2,95.62,92.16,41.01,52.96,750.0,0.31,-0.25,47.01,55.09,87.5,85.85,107.72,106.57
COALINDIA.NS,432.75,-0.73,2.68,14.85,42.79,2.94,5.59,92.1,97.79,432.95,-0.4,-0.67,89.71,52.33,100.0,97.33,100.63,100.26
COCHINSHIP.NS,1498.1,8.14,-18.52,86.93,59.84,96.29,96.29,21.96,31.07,1503.5,4.92,4.64,90.04,65.19,86.8,66.06,81.92,83.61
COFORGE.NS,1313.2,9.59,-16.44,91.63,63.0,93.26,87.84,62.0,74.01,1313.2,6.65,8.62,27.08,57.9,18.78,22.66,100.19,101.58
COLPAL.NS,1977.4,-33.79,-55.87,89.83,53.01,96.22,96.21,84.2,88.23,1973.4,7.47,8.94,15.89,53.04,10.29,13.77,100.78,100.92
